demographic_category,demographic_value,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,booster_recip_count,cumulative_booster_recip_count
Gender,Male,2020-09-12,12,819,8,520,4,299,0,0,0,13,6,156,6,660,0,0
Gender,Female,2020-09-12,17,825,8,490,9,335,0,0,0,13,5,180,12,642,0,0
Gender,Female,2020-09-13,3,828,3,493,0,335,0,0,0,13,2,182,1,643,0,0
Gender,Male,2020-09-13,3,822,3,523,0,299,0,0,0,13,2,158,0,660,0,0
Gender,Female,2020-09-14,36,864,19,512,17,352,0,0,0,13,29,211,7,650,0,0
Gender,Male,2020-09-14,43,865,31,554,12,311,0,0,0,13,30,188,12,672,0,0
Gender,Female,2020-09-15,29,893,20,532,9,361,0,0,0,13,18,229,11,661,0,0
Gender,Male,2020-09-15,50,915,36,590,14,325,0,0,1,14,34,222,16,688,0,0
Gender,Female,2020-09-16,31,924,23,555,8,369,0,0,0,13,20,249,11,672,0,0
Gender,Male,2020-09-16,35,950,26,616,9,334,0,0,1,15,22,244,13,701,0,0
Gender,Female,2020-09-17,28,952,13,568,15,384,0,0,1,14,15,264,12,684,0,0
Gender,Male,2020-09-17,38,988,22,638,16,350,0,0,0,15,22,266,16,717,0,0
Gender,Male,2020-09-18,39,1027,29,667,10,360,0,0,0,15,21,287,18,735,0,0
Gender,Female,2020-09-18,35,987,23,591,12,396,0,0,0,14,24,288,10,694,0,0
Gender,Male,2020-09-19,13,1040,10,677,3,363,0,0,0,15,5,292,8,743,0,0
Gender,Female,2020-09-19,5,992,5,596,0,396,0,0,0,14,3,291,2,696,0,0
Gender,Female,2020-09-20,4,996,3,599,1,397,0,0,0,14,2,293,2,698,0,0
Gender,Male,2020-09-20,5,1045,3,680,2,365,0,0,0,15,3,295,2,745,0,0
Gender,Male,2020-09-21,46,1091,38,718,8,373,0,0,1,16,32,327,14,759,0,0
Gender,Female,2020-09-21,46,1042,31,630,15,412,0,0,0,14,35,328,11,709,0,0
Gender,Female,2020-09-22,41,1083,29,659,12,424,0,0,0,14,27,355,14,723,0,0
Gender,Male,2020-09-22,40,1131,33,751,7,380,0,0,1,17,27,354,13,772,0,0
Gender,Female,2020-09-23,45,1128,35,694,10,434,0,0,0,14,29,384,16,739,0,0
Gender,Male,2020-09-23,57,1188,46,797,11,391,0,0,1,18,42,396,15,787,0,0
Gender,Female,2020-09-24,29,1157,25,719,4,438,0,0,0,14,23,407,6,745,0,0
Gender,Male,2020-09-24,30,1218,25,822,5,396,0,0,0,18,21,417,7,794,0,0
Gender,Male,2020-09-25,37,1255,23,845,14,410,0,0,0,18,29,446,8,802,0,0
Gender,Female,2020-09-25,38,1195,28,747,10,448,0,0,0,14,28,435,10,755,0,0
Gender,Female,2020-09-26,1,1196,1,748,0,448,0,0,0,14,1,436,0,755,0,0
Gender,Male,2020-09-26,8,1263,4,849,4,414,0,0,0,18,7,453,1,803,0,0
Gender,Male,2020-09-27,2,1265,2,851,0,414,0,0,0,18,0,453,2,805,0,0
Gender,Male,2020-09-28,38,1303,19,870,19,433,0,0,2,20,34,487,4,809,0,0
Gender,Female,2020-09-28,19,1215,7,755,12,460,0,0,0,14,15,451,4,759,0,0
Gender,Male,2020-09-29,27,1330,20,890,6,439,1,1,2,22,23,510,5,814,0,0
Gender,Female,2020-09-29,29,1244,17,772,11,471,1,1,0,14,23,474,6,765,0,0
Gender,Female,2020-09-30,29,1273,18,790,11,482,0,1,1,15,24,498,4,769,0,0
Gender,Male,2020-09-30,24,1354,17,907,6,445,1,2,0,22,20,530,5,819,0,0
Gender,Female,2020-10-01,25,1298,13,803,11,493,1,2,0,15,10,508,16,785,0,0
Gender,Male,2020-10-01,32,1386,21,928,9,454,2,4,2,24,20,550,14,833,0,0
Gender,Female,2020-10-02,13,1311,11,814,2,495,0,2,0,15,11,519,2,787,0,0
